blackbox_,learner_,rules_,coverage_,time_without_min,time_without_max,time_without_median,time_without_std,time_with_min,time_with_max,time_with_median,time_with_std,specificity_without_min,specificity_without_max,specificity_without_median,specificity_without_std,precision_without_min,precision_without_max,precision_without_median,precision_without_std,recall_without_min,recall_without_max,recall_without_median,recall_without_std,and_without_min,and_without_max,and_without_median,and_without_std,or_without_min,or_without_max,or_without_median,or_without_std,predicates_without_min,predicates_without_max,predicates_without_median,predicates_without_std,specificity_with_min,specificity_with_max,specificity_with_median,specificity_with_std,precision_with_min,precision_with_max,precision_with_median,precision_with_std,recall_with_min,recall_with_max,recall_with_median,recall_with_std,and_with_min,and_with_max,and_with_median,and_with_std,or_with_min,or_with_max,or_with_median,or_with_std,predicates_with_min,predicates_with_max,predicates_with_median,predicates_with_std,time_influential_min,time_influential_max,time_influential_median,time_influential_std,fscore_without_min,fscore_without_max,fscore_without_median,fscore_without_std,fscore_with_min,fscore_with_max,fscore_with_median,fscore_with_std
bank,4,bayesian,0.6,198.779,253.231,224.903,24.329,650.428,994.017,790.291,133.166,0.957,0.973,0.959,0.007,0.417,0.469,0.444,0.02,0.245,0.349,0.344,0.055,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.876,0.9,0.882,0.009,0.335,0.37,0.358,0.014,0.62,0.696,0.645,0.028,3,4,4.0,0.548,4,7,6.0,1.14,9,12,10.0,1.304,0.961,0.984,0.966,0.009,0.367,0.431,0.415,0.025,0.371,0.406,0.392,0.014
bank,4,induction,0.6,38.188,46.305,42.767,3.056,164.744,245.635,209.521,29.191,0.94,0.945,0.943,0.002,0.387,0.43,0.406,0.016,0.376,0.423,0.404,0.018,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,0.0,0.866,0.87,0.869,0.002,0.334,0.355,0.344,0.008,0.677,0.727,0.705,0.021,0,0,0.0,0.0,2,3,3.0,0.548,3,4,4.0,0.548,1.037,1.385,1.351,0.144,0.385,0.429,0.405,0.016,0.374,0.395,0.382,0.008
bank,4,islearn,0.6,647.976,722.917,706.598,36.439,-1.0,-1.0,-1.0,0.0,0.766,0.825,0.772,0.027,0.201,0.25,0.217,0.02,0.6,0.633,0.602,0.014,0,1,1.0,0.447,0,0,0.0,0.0,1,2,2.0,0.447,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,-1,-1,-1.0,0.0,1.13,1.437,1.352,0.116,0.232,0.283,0.25,0.021,-1.0,-1.0,-1.0,0.0
bank,4,tree,0.6,1.107,1.256,1.19,0.054,1.131,1.283,1.202,0.054,0.959,0.981,0.964,0.011,0.442,0.495,0.468,0.022,0.191,0.352,0.325,0.08,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.879,0.903,0.903,0.01,0.373,0.391,0.385,0.007,0.631,0.715,0.643,0.035,2,3,3.0,0.548,2,3,3.0,0.548,5,7,7.0,1.095,1.133,1.346,1.27,0.102,0.363,0.43,0.415,0.03,0.412,0.424,0.422,0.005
bank,5,bayesian,0.3,183.402,260.353,248.616,33.282,183.402,525.306,423.669,141.937,0.931,0.976,0.966,0.017,0.388,0.46,0.442,0.028,0.194,0.447,0.299,0.092,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.901,0.959,0.931,0.027,0.33,0.429,0.388,0.044,0.309,0.577,0.447,0.104,1,2,2.0,0.548,0,2,1.0,1.0,2,5,4.0,1.517,0.957,0.981,0.966,0.009,0.352,0.411,0.399,0.024,0.354,0.419,0.398,0.024
bank,5,bayesian,0.4,180.221,254.988,249.575,32.794,180.222,664.224,485.784,175.507,0.931,0.976,0.966,0.017,0.388,0.46,0.442,0.028,0.194,0.447,0.299,0.092,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.874,0.931,0.901,0.022,0.33,0.403,0.355,0.029,0.447,0.694,0.528,0.093,1,3,2.0,0.707,0,3,2.0,1.095,2,7,5.0,1.789,0.953,0.983,0.966,0.011,0.352,0.411,0.399,0.024,0.354,0.423,0.39,0.025
bank,5,bayesian,0.5,186.226,259.51,243.694,33.55,433.877,645.305,477.089,84.62,0.931,0.976,0.966,0.017,0.388,0.46,0.442,0.028,0.194,0.447,0.299,0.092,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.866,0.921,0.901,0.022,0.33,0.403,0.352,0.028,0.502,0.72,0.577,0.098,2,3,2.0,0.447,2,3,2.0,0.548,5,7,5.0,0.894,0.959,0.979,0.968,0.008,0.352,0.411,0.399,0.024,0.354,0.423,0.385,0.025
bank,5,bayesian,0.6,182.079,262.751,247.612,36.808,437.611,973.482,663.175,195.724,0.931,0.976,0.966,0.017,0.388,0.46,0.442,0.028,0.194,0.447,0.299,0.092,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.866,0.9,0.874,0.013,0.336,0.384,0.344,0.019,0.619,0.72,0.679,0.045,2,4,3.0,0.707,3,5,3.0,1.095,6,10,7.0,1.643,0.956,0.979,0.965,0.008,0.352,0.411,0.399,0.024,0.37,0.416,0.384,0.017
bank,5,bayesian,0.7,181.054,259.225,244.824,33.708,434.42,1455.403,913.417,363.281,0.931,0.976,0.966,0.017,0.388,0.46,0.442,0.028,0.194,0.447,0.299,0.092,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.734,0.867,0.866,0.058,0.222,0.352,0.34,0.054,0.714,0.806,0.72,0.039,2,6,4.0,1.414,3,9,4.0,2.51,6,16,9.0,3.782,0.958,0.98,0.966,0.009,0.352,0.411,0.399,0.024,0.26,0.393,0.38,0.055
bank,5,bayesian,0.8,185.55,268.537,253.146,36.57,940.437,2097.111,1418.871,444.353,0.931,0.976,0.966,0.017,0.388,0.46,0.442,0.028,0.194,0.447,0.299,0.092,1,1,1.0,0.0,0,0,0.0,0.0,2,2,2.0,0.0,0.734,0.833,0.813,0.041,0.222,0.327,0.305,0.041,0.806,0.855,0.819,0.02,4,9,6.0,1.817,6,15,8.0,3.782,12,25,16.0,5.244,0.959,0.983,0.965,0.01,0.352,0.411,0.399,0.024,0.26,0.372,0.349,0.044
