run,blackbox,model,learner,rules,coverage,seed,model_number,specificity_without,precision_without,recall_without,time_without,and_without,or_without,predicates_without,specificity_with,precision_with,recall_with,time_with,and_with,or_with,predicates_with,time_influential
1,bank,rfc,0,tree,0.6,34567890,3,0.965,0.479,0.331,0.11,1,0,2,0.903,0.393,0.64,0.131,2,2,5,-1.0
1,bank,rfc,0,tree,0.6,45678901,4,0.981,0.495,0.192,0.106,1,0,2,0.903,0.391,0.643,0.16,3,3,7,-1.0
1,bank,rfc,0,tree,0.6,56789012,5,0.959,0.442,0.333,0.102,1,0,2,0.901,0.404,0.689,0.142,3,3,7,-1.0
1,bank,rfc,0,tree,0.7,12345678,1,0.978,0.468,0.191,0.105,1,0,2,0.882,0.384,0.734,0.194,5,5,11,-1.0
1,bank,rfc,0,tree,0.7,23456789,2,0.959,0.444,0.352,0.178,1,0,2,0.868,0.354,0.767,0.231,3,3,7,-1.0
1,bank,rfc,0,tree,0.7,34567890,3,0.965,0.479,0.331,0.171,1,0,2,0.892,0.405,0.749,0.257,4,4,9,-1.0
1,bank,rfc,0,tree,0.7,45678901,4,0.981,0.495,0.192,0.146,1,0,2,0.827,0.314,0.819,0.248,5,6,12,-1.0
1,bank,rfc,0,tree,0.7,56789012,5,0.959,0.442,0.333,0.17,1,0,2,0.891,0.403,0.751,0.255,4,4,9,-1.0
1,bank,rfc,0,tree,0.8,12345678,1,0.978,0.468,0.191,0.104,1,0,2,0.847,0.355,0.837,0.331,8,9,18,-1.0
1,bank,rfc,0,tree,0.8,23456789,2,0.959,0.444,0.352,0.141,1,0,2,0.862,0.355,0.808,0.23,4,4,9,-1.0
1,bank,rfc,0,tree,0.8,34567890,3,0.965,0.479,0.331,0.117,1,0,2,0.835,0.337,0.855,0.224,5,5,11,-1.0
1,bank,rfc,0,tree,0.8,45678901,4,0.981,0.495,0.192,0.173,1,0,2,0.827,0.314,0.819,0.297,5,6,12,-1.0
1,bank,rfc,0,tree,0.8,56789012,5,0.959,0.442,0.333,0.138,1,0,2,0.856,0.366,0.851,0.235,5,5,11,-1.0
1,bank,rfc,2,bayesian,0.6,12345678,1,0.975,0.421,0.184,254.93,1,0,2,0.881,0.349,0.633,728.875,3,6,10,0.957
1,bank,rfc,2,bayesian,0.6,23456789,2,0.972,0.456,0.252,223.538,1,0,2,0.875,0.327,0.645,1316.222,6,5,12,0.965
1,bank,rfc,2,bayesian,0.6,34567890,3,0.973,0.444,0.217,189.692,1,0,2,0.898,0.39,0.662,972.265,5,8,14,0.98
