blackbox,model,learner,rules,coverage,seed,model_number,time_without,time_with,specificity_without,precision_without,recall_without,and_without,or_without,predicates_without,specificity_with,precision_with,recall_with,and_with,or_with,predicates_with,time_influential,fscore_without,fscore_with
bank,rfc,0,tree,0.6,45678901,4,0.12,0.169,0.981,0.495,0.192,1,0,2,0.903,0.391,0.643,3,3,7,-1.0,0.376,0.424
bank,rfc,0,tree,0.6,56789012,5,0.142,0.192,0.959,0.442,0.333,1,0,2,0.901,0.404,0.689,3,3,7,-1.0,0.415,0.44
bank,rfc,0,tree,0.7,12345678,1,0.146,0.26,0.978,0.468,0.191,1,0,2,0.882,0.384,0.734,5,5,11,-1.0,0.363,0.424
bank,rfc,0,tree,0.7,23456789,2,0.146,0.2,0.959,0.444,0.352,1,0,2,0.868,0.354,0.767,3,3,7,-1.0,0.422,0.397
bank,rfc,0,tree,0.7,34567890,3,0.159,0.245,0.965,0.479,0.331,1,0,2,0.892,0.405,0.749,4,4,9,-1.0,0.44,0.446
bank,rfc,0,tree,0.7,45678901,4,0.133,0.246,0.981,0.495,0.192,1,0,2,0.827,0.314,0.819,5,6,12,-1.0,0.376,0.358
bank,rfc,0,tree,0.7,56789012,5,0.156,0.242,0.959,0.442,0.333,1,0,2,0.891,0.403,0.751,4,4,9,-1.0,0.415,0.444
bank,rfc,0,tree,0.8,12345678,1,0.146,0.383,0.978,0.468,0.191,1,0,2,0.847,0.355,0.837,8,9,18,-1.0,0.363,0.401
bank,rfc,0,tree,0.8,23456789,2,0.114,0.193,0.959,0.444,0.352,1,0,2,0.862,0.355,0.808,4,4,9,-1.0,0.422,0.4
bank,rfc,0,tree,0.8,34567890,3,0.163,0.281,0.965,0.479,0.331,1,0,2,0.835,0.337,0.855,5,5,11,-1.0,0.44,0.383
bank,rfc,0,tree,0.8,45678901,4,0.141,0.25,0.981,0.495,0.192,1,0,2,0.827,0.314,0.819,5,6,12,-1.0,0.376,0.358
bank,rfc,0,tree,0.8,56789012,5,0.137,0.244,0.959,0.442,0.333,1,0,2,0.856,0.366,0.851,5,5,11,-1.0,0.415,0.413
bank,rfc,2,bayesian,0.6,12345678,1,260.274,733.138,0.975,0.421,0.184,1,0,2,0.881,0.349,0.633,3,6,10,0.957,0.335,0.383
bank,rfc,2,bayesian,0.6,23456789,2,229.715,1312.595,0.972,0.456,0.252,1,0,2,0.875,0.327,0.645,6,5,12,0.965,0.392,0.363
bank,rfc,2,bayesian,0.6,34567890,3,193.606,958.412,0.973,0.444,0.217,1,0,2,0.898,0.39,0.662,5,8,14,0.98,0.367,0.425
bank,rfc,2,bayesian,0.6,45678901,4,222.837,1061.664,0.964,0.424,0.269,1,0,2,0.86,0.307,0.641,5,4,10,0.967,0.38,0.343
bank,rfc,2,bayesian,0.6,56789012,5,224.255,458.903,0.959,0.442,0.333,1,0,2,0.883,0.352,0.651,2,3,6,0.965,0.415,0.388
bank,rfc,2,induction,0.6,12345678,1,25.775,134.663,0.94,0.387,0.376,0,0,1,0.87,0.345,0.676,0,3,4,1.012,0.385,0.382
bank,rfc,2,induction,0.6,23456789,2,20.684,84.787,0.941,0.399,0.414,0,0,1,0.57,0.167,0.833,0,1,2,1.046,0.402,0.199
bank,rfc,2,induction,0.6,34567890,3,21.178,96.36,0.945,0.43,0.423,0,0,1,0.87,0.355,0.725,0,2,3,1.006,0.429,0.395
bank,rfc,2,induction,0.6,45678901,4,23.576,100.303,0.943,0.406,0.401,0,0,1,0.565,0.167,0.822,0,1,2,1.346,0.405,0.199
bank,rfc,2,induction,0.6,56789012,5,23.745,142.547,0.944,0.412,0.404,0,0,1,0.869,0.346,0.705,0,3,4,1.335,0.41,0.385
bank,rfc,2,islearn,0.6,12345678,1,242.194,-1.0,0.751,0.21,0.66,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.005,0.243,-1.0
bank,rfc,2,islearn,0.6,23456789,2,199.721,-1.0,0.802,0.224,0.605,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.28,0.256,-1.0
bank,rfc,2,islearn,0.6,34567890,3,256.539,-1.0,0.755,0.209,0.656,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.354,0.242,-1.0
bank,rfc,2,islearn,0.6,45678901,4,216.706,-1.0,0.74,0.205,0.692,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.054,0.239,-1.0
bank,rfc,2,islearn,0.6,56789012,5,295.891,-1.0,0.76,0.205,0.633,1,0,2,-1.0,-1.0,-1.0,-1,-1,-1,1.036,0.237,-1.0
